code,short_description,long_description,is_billable,organ_system,criteria_type
E66.01,1 Morbid (severe) obesity due to excess calories,Morbid (severe) obesity due to excess calories,False,general,contraindication
E66.09,1 Other obesity due to excess calories,Other obesity due to excess calories,False,general,contraindication
E66.1,1 Drug-induced obesity,Drug-induced obesity,False,general,contraindication
E66.2,1 Morbid (severe) obesity with alveolar hypoventilation,Morbid (severe) obesity with alveolar hypoventilation,False,general,contraindication
E66.3,1 Overweight,Overweight,False,general,contraindication
E66.8,0 Other obesity,Other obesity,False,general,contraindication
E66.81,0 Obesity class,Obesity class,False,general,contraindication
E66.811,"1 Obesity, class 1","Obesity, class 1",False,general,contraindication
E66.812,"1 Obesity, class 2","Obesity, class 2",False,general,contraindication
E66.813,"1 Obesity, class 3","Obesity, class 3",False,general,contraindication
E66.89,1 Other obesity not elsewhere classified,Other obesity not elsewhere classified,False,general,contraindication
E66.9,"1 Obesity, unspecified","Obesity, unspecified",False,general,contraindication
F10,0 Alcohol related disorders,Alcohol related disorders,False,general,contraindication
F10.1,0 Alcohol abuse,Alcohol abuse,False,general,contraindication
F10.10,"1 Alcohol abuse, uncomplicated","Alcohol abuse, uncomplicated",False,general,contraindication
F10.11,"1 Alcohol abuse, in remission","Alcohol abuse, in remission",False,general,contraindication
F10.12,0 Alcohol abuse with intoxication,Alcohol abuse with intoxication,False,general,contraindication
