code,short_description,long_description,is_billable,organ_system,criteria_type
C43.39,1 Malignant melanoma of other parts of face,Malignant melanoma of other parts of face,False,general,contraindication
C43.4,1 Malignant melanoma of scalp and neck,Malignant melanoma of scalp and neck,False,general,contraindication
C43.5,0 Malignant melanoma of trunk,Malignant melanoma of trunk,False,general,contraindication
C43.51,1 Malignant melanoma of anal skin,Malignant melanoma of anal skin,False,general,contraindication
C43.52,1 Malignant melanoma of skin of breast,Malignant melanoma of skin of breast,False,general,contraindication
C43.59,1 Malignant melanoma of other part of trunk,Malignant melanoma of other part of trunk,False,general,contraindication
C43.6,"0 Malignant melanoma of upper limb, including shoulder","Malignant melanoma of upper limb, including shoulder",False,general,contraindication
C43.60,"1 Malignant melanoma of unsp upper limb, including shoulder","Malignant melanoma of unspecified upper limb, including shoulder",False,general,contraindication
C43.61,"1 Malignant melanoma of right upper limb, including shoulder","Malignant melanoma of right upper limb, including shoulder",False,general,contraindication
C43.62,"1 Malignant melanoma of left upper limb, including shoulder","Malignant melanoma of left upper limb, including shoulder",False,general,contraindication
C43.7,"0 Malignant melanoma of lower limb, including hip","Malignant melanoma of lower limb, including hip",False,general,contraindication
C43.70,"1 Malignant melanoma of unspecified lower limb, including hi","p  Malignant melanoma of unspecified lower limb, including hip",False,general,contraindication
C43.71,"1 Malignant melanoma of right lower limb, including hip","Malignant melanoma of right lower limb, including hip",False,general,contraindication
C43.72,"1 Malignant melanoma of left lower limb, including hip","Malignant melanoma of left lower limb, including hip",False,general,contraindication
C43.8,1 Malignant melanoma of overlapping sites of skin,Malignant melanoma of overlapping sites of skin,False,general,contraindication
C43.9,"1 Malignant melanoma of skin, unspecified","Malignant melanoma of skin, unspecified",False,general,contraindication
C44,0 Other and unspecified malignant neoplasm of skin,Other and unspecified malignant neoplasm of skin,False,general,contraindication
C44.0,0 Other and unspecified malignant neoplasm of skin of lip,Other and unspecified malignant neoplasm of skin of lip,False,general,contraindication
C44.00,1 Unspecified malignant neoplasm of skin of lip,Unspecified malignant neoplasm of skin of lip,False,general,contraindication
C44.01,1 Basal cell carcinoma of skin of lip,Basal cell carcinoma of skin of lip,False,general,contraindication
C44.02,1 Squamous cell carcinoma of skin of lip,Squamous cell carcinoma of skin of lip,False,general,contraindication
C44.09,1 Other specified malignant neoplasm of skin of lip,Other specified malignant neoplasm of skin of lip,False,general,contraindication
C44.1,"0 Oth and unsp malignant neoplasm skin/ eyelid, inc canthus","Other and unspecified malignant neoplasm of skin of eyelid, including canthus",False,general,contraindication
C44.10,"0 Unsp malignant neoplasm of skin of eyelid, including canth","us Unspecified malignant neoplasm of skin of eyelid, including canthus",False,general,contraindication
C44.101,"1 Unsp malignant neoplasm skin/ unsp eyelid, including canth","us Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus",False,general,contraindication
C44.102,"0 Unsp malignant neoplasm skin/ right eyelid, inc canthus","Unspecified malignant neoplasm of skin of right eyelid, including canthus",False,general,contraindication
C44.1021,"1 Unsp malig neoplasm skin/ right upper eyelid, inc canthus","Unspecified malignant neoplasm of skin of right upper eyelid, including canthus",False,general,contraindication
C44.1022,"1 Unsp malig neoplasm skin/ right lower eyelid, inc canthus","Unspecified malignant neoplasm of skin of right lower eyelid, including canthus",False,general,contraindication
C44.109,"0 Unsp malignant neoplasm skin/ left eyelid, including canth","us Unspecified malignant neoplasm of skin of left eyelid, including canthus",False,general,contraindication
C44.1091,"1 Unsp malignant neoplasm skin/ left upper eyelid, inc canth","us Unspecified malignant neoplasm of skin of left upper eyelid, including canthus",False,general,contraindication
C44.1092,"1 Unsp malignant neoplasm skin/ left lower eyelid, inc canth","us Unspecified malignant neoplasm of skin of left lower eyelid, including canthus",False,general,contraindication
C44.11,"0 Basal cell carcinoma of skin of eyelid, including canthus","Basal cell carcinoma of skin of eyelid, including canthus",False,general,contraindication
C44.111,"1 Basal cell carcinoma skin/ unsp eyelid, including canthus","Basal cell carcinoma of skin of unspecified eyelid, including canthus",False,general,contraindication
C44.112,"0 Basal cell carcinoma skin/ right eyelid, including canthus","Basal cell carcinoma of skin of right eyelid, including canthus",False,general,contraindication
C44.1121,"1 Basal cell carcinoma skin/ right upper eyelid, inc canthus","Basal cell carcinoma of skin of right upper eyelid, including canthus",False,general,contraindication
C44.1122,"1 Basal cell carcinoma skin/ right lower eyelid, inc canthus","Basal cell carcinoma of skin of right lower eyelid, including canthus",False,general,contraindication
C44.119,"0 Basal cell carcinoma skin/ left eyelid, including canthus","Basal cell carcinoma of skin of left eyelid, including canthus",False,general,contraindication
C44.1191,"1 Basal cell carcinoma skin/ left upper eyelid, inc canthus","Basal cell carcinoma of skin of left upper eyelid, including canthus",False,general,contraindication
C44.1192,"1 Basal cell carcinoma skin/ left lower eyelid, inc canthus","Basal cell carcinoma of skin of left lower eyelid, including canthus",False,general,contraindication
C44.12,"0 Squamous cell carcinoma of skin of eyelid, including canth","us Squamous cell carcinoma of skin of eyelid, including canthus",False,general,contraindication
C44.121,"1 Squamous cell carcinoma skin/ unsp eyelid, including canth","us Squamous cell carcinoma of skin of unspecified eyelid, including canthus",False,general,contraindication
C44.122,"0 Squamous cell carcinoma skin/ right eyelid, inc canthus","Squamous cell carcinoma of skin of right eyelid, including canthus",False,general,contraindication
C44.1221,"1 Squamous cell carcinoma skin/ r upper eyelid, inc canthus","Squamous cell carcinoma of skin of right upper eyelid, including canthus",False,general,contraindication
C44.1222,"1 Squamous cell carcinoma skin/ right low eyelid, inc canthu","s  Squamous cell carcinoma of skin of right lower eyelid, including canthus",False,general,contraindication
C44.129,"0 Squamous cell carcinoma skin/ left eyelid, including canth","us Squamous cell carcinoma of skin of left eyelid, including canthus",False,general,contraindication
C44.1291,"1 Squamous cell carcinoma skin/ left upper eyelid, inc canth","us Squamous cell carcinoma of skin of left upper eyelid, including canthus",False,general,contraindication
C44.1292,"1 Squamous cell carcinoma skin/ left lower eyelid, inc canth","us Squamous cell carcinoma of skin of left lower eyelid, including canthus",False,general,contraindication
C44.13,"0 Sebaceous cell carcinoma skin/ eyelid, including canthus","Sebaceous cell carcinoma of skin of eyelid, including canthus",False,general,contraindication
C44.131,"1 Sebaceous cell carcinoma skin/ unsplid, including canthus","Sebaceous cell carcinoma of skin of unspecified eyelid, including canthus",False,general,contraindication
C44.132,"0 Sebaceous cell carcinoma skin/ right eyelid, inc canthus","Sebaceous cell carcinoma of skin of right eyelid, including canthus",False,general,contraindication
C44.1321,"1 Sebaceous cell carcinoma skin/ r upper eyelid, inc canthus","Sebaceous cell carcinoma of skin of right upper eyelid, including canthus",False,general,contraindication
C44.1322,"1 Sebaceous cell carcinoma skin/ right low eyelid, inc canth","us Sebaceous cell carcinoma of skin of right lower eyelid, including canthus",False,general,contraindication
C44.139,"0 Sebaceous cell carcinoma skin/ left eyelid, inc canthus","Sebaceous cell carcinoma of skin of left eyelid, including canthus",False,general,contraindication
C44.1391,"1 Sebaceous cell carcinoma skin/ left upr eyelid, inc canthu","s  Sebaceous cell carcinoma of skin of left upper eyelid, including canthus",False,general,contraindication
C44.1392,"1 Sebaceous cell carcinoma skin/ left low eyelid, inc canthu","s  Sebaceous cell carcinoma of skin of left lower eyelid, including canthus",False,general,contraindication
C44.19,"0 Oth malignant neoplasm of skin of eyelid, including canthu","s  Other specified malignant neoplasm of skin of eyelid, including canthus",False,general,contraindication
C44.191,"1 Oth malignant neoplasm skin/ unsp eyelid, including canthu","s  Other specified malignant neoplasm of skin of unspecified eyelid, including canthus",False,general,contraindication
C44.192,"0 Oth malignant neoplasm skin/ right eyelid, including canth","us Other specified malignant neoplasm of skin of right eyelid, including canthus",False,general,contraindication
C44.1921,"1 Oth malignant neoplasm skin/ right upper eyelid, inc canth","us Other specified malignant neoplasm of skin of right upper eyelid, including canthus",False,general,contraindication
C44.1922,"1 Oth malignant neoplasm skin/ right lower eyelid, inc canth","us Other specified malignant neoplasm of skin of right lower eyelid, including canthus",False,general,contraindication
C44.199,"0 Oth malignant neoplasm skin/ left eyelid, including canthu","s  Other specified malignant neoplasm of skin of left eyelid, including canthus",False,general,contraindication
C44.1991,"1 Oth malignant neoplasm skin/ left upper eyelid, inc canthu","s  Other specified malignant neoplasm of skin of left upper eyelid, including canthus",False,general,contraindication
C44.1992,"1 Oth malignant neoplasm skin/ left lower eyelid, inc canthu","s  Other specified malignant neoplasm of skin of left lower eyelid, including canthus",False,general,contraindication
C44.2,0 Oth and unsp malig neoplasm skin/ ear and extrn auric cana,l  Other and unspecified malignant neoplasm of skin of ear and external auricular canal,False,general,contraindication
C44.20,0 Unsp malignant neoplasm skin/ ear and external auric canal,Unspecified malignant neoplasm of skin of ear and external auricular canal,False,general,contraindication
C44.201,1 Unsp malig neoplasm skin/ unsp ear and external auric cana,l  Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal,False,general,contraindication
C44.202,1 Unsp malig neoplasm skin/ right ear and external auric can,al Unspecified malignant neoplasm of skin of right ear and external auricular canal,False,general,contraindication
C44.209,1 Unsp malig neoplasm skin/ left ear and external auric cana,l  Unspecified malignant neoplasm of skin of left ear and external auricular canal,False,general,contraindication
C44.21,0 Basal cell carcinoma skin/ ear and external auricular cana,l  Basal cell carcinoma of skin of ear and external auricular canal,False,general,contraindication
C44.211,1 Basal cell carcinoma skin/ unsp ear and external auric can,al Basal cell carcinoma of skin of unspecified ear and external auricular canal,False,general,contraindication
